Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no,Status,Justification
backend,secretstuffs.application.services,ItemPostService,buildCreateItemPostResponse,Long Statement,"The length of the statement ""return CreateItemPostResponseDTO.builder().email(post.getEmail()).title(post.getTitle()).description(post.getDescription()).address(post.getAddress()).itemPostImageUrl(post.getItemPostImageUrl()).condition(post.getCondition()).category(post.getCategory()).build();"" is 264.",100,Solved,
backend,secretstuffs.application.services,ItemPostService,buildFetchItemPostResponse,Long Statement,"The length of the statement ""return FetchItemPostResponseDTO.builder().id(post.getId()).email(post.getEmail()).title(post.getTitle()).description(post.getDescription()).address(post.getAddress()).itemPostImageUrl(post.getItemPostImageUrl()).condition(post.getCondition()).category(post.getCategory()).build();"" is 280.",113,Solved,
backend,secretstuffs.application.services,ItemPostService,getAllPostsByEmail,Long Statement,"The length of the statement ""return itemPostRepository.findAllByEmail(email).stream().map(this::buildFetchItemPostResponse).collect(Collectors.toList());"" is 124.",51,Solved,
backend,secretstuffs.application.services,ItemPostService,updateItemPost,Long Statement,"The length of the statement ""ItemPost existingItemPost=itemPostRepository.findById(command.getId()).orElseThrow(() -> new EntityNotFoundException(""Item post not found with id: "" + command.getId()));"" is 169.",122,Solved,
backend,secretstuffs.application.helpers,JwtHelper,createToken,Long Statement,"The length of the statement ""return Jwts.builder().setClaims(claims).setSubject(subject).setIssuedAt(new Date(System.currentTimeMillis())).setExpiration(new Date(System.currentTimeMillis() + TOKEN_VALIDITY)).signWith(signingKey`SignatureAlgorithm.HS512).compact();"" is 235.",55,Solved,
backend,secretstuffs.application.helpers,JwtHelper,buildToken,Long Statement,"The length of the statement ""return Jwts.builder().setClaims(claims).setSubject(subject).setIssuedAt(issuedAt).setExpiration(expiration).signWith(signingKey`SignatureAlgorithm.HS512).compact();"" is 164.",128,Solved,
backend,secretstuffs.domain.dtos.commands.auth,RegisterUserCommand,isValid,Long Statement,"The length of the statement ""return firstName != null && !firstName.isEmpty() && lastName != null && !lastName.isEmpty() && email != null && !email.isEmpty() && password != null && !password.isEmpty();"" is 172.",17,Solved,
backend,secretstuffs.domain.models.requests.auth,RegisterUserRequestDTO,isValid,Long Statement,"The length of the statement ""return firstName != null && !firstName.isEmpty() && lastName != null && !lastName.isEmpty() && email != null && !email.isEmpty() && password != null && !password.isEmpty();"" is 172.",35,Solved,
backend,secretstuffs.domain.dtos.commands.itemPost,UpdateItemPostCommand,isValid,Long Statement,"The length of the statement ""return id != null && id > 0 && title != null && !title.isEmpty() && address != null && !address.isEmpty() && category != null && condition != null;"" is 147.",22,Solved,
backend,secretstuffs.domain.models.requests.itemPost,UpdateItemPostRequestDTO,isValid,Long Statement,"The length of the statement ""return title != null && !title.isEmpty() && address != null && !address.isEmpty() && condition != null && category != null;"" is 123.",42,Solved,
backend,secretstuffs.domain.dtos.commands.user,UpdateUserDetailsCommand,isValid,Long Statement,"The length of the statement ""return email != null && !email.isEmpty() && firstName != null && !firstName.isEmpty() && lastName != null && !lastName.isEmpty();"" is 129.",17,Solved,
backend,secretstuffs.controllers,UserController,changePassword,Long Statement,"The length of the statement ""ChangePasswordCommand command=new ChangePasswordCommand(email`dto.getOldPassword()`dto.getNewPassword()`dto.getConfirmPassword());"" is 130.",57,Solved,
backend,secretstuffs.application.services,UserService,findUserByEmail,Long Statement,"The length of the statement ""return userRepository.findByEmail(email).orElseThrow(() -> new BusinessException(""User with email "" + email + "" not found""`""USER_NOT_FOUND""`HttpStatus.NOT_FOUND));"" is 163.",30,Solved,
backend,secretstuffs.application.services,UserService,buildUpdateUserResponse,Long Statement,"The length of the statement ""return UpdateUserResponseDTO.builder().email(user.getEmail()).firstName(user.getFirstName()).lastName(user.getLastName()).profileImageURL(user.getProfileImageURL()).build();"" is 173.",112,Solved,
backend,secretstuffs.application.services,UserService,buildUserProfileResponse,Long Statement,"The length of the statement ""return FetchUserProfileResponseDTO.builder().email(user.getEmail()).firstName(user.getFirstName()).lastName(user.getLastName()).profileImageURL(user.getProfileImageURL()).active(user.isActive()).build();"" is 203.",121,Solved,
backend,secretstuffs.application.services,UserService,changePassword,Long Statement,"The length of the statement ""User user=userRepository.findByEmail(command.getEmail()).orElseThrow(() -> new BusinessException(""User not found""`""USER_NOT_FOUND""`HttpStatus.NOT_FOUND));"" is 154.",96,Solved,
backend,secretstuffs.application.services,UserService,changePassword,Long Statement,"The length of the statement ""throw new BusinessException(""New password and confirm password do not match""`""PASSWORDS_DO_NOT_MATCH""`HttpStatus.BAD_REQUEST);"" is 126.",96,Solved,
backend,secretstuffs.application.services,UserService,buildUpdateUserResponse,Long Statement,"The length of the statement ""return UpdateUserResponseDTO.builder().email(user.getEmail()).firstName(user.getFirstName()).lastName(user.getLastName()).profileImageURL(user.getProfileImageURL()).build();"" is 173.",110,Solved,
backend,secretstuffs.application.services,UserService,buildUserProfileResponse,Long Statement,"The length of the statement ""return FetchUserProfileResponseDTO.builder().id(user.getId()).email(user.getEmail()).firstName(user.getFirstName()).lastName(user.getLastName()).profileImageURL(user.getProfileImageURL()).active(user.isActive()).build();"" is 220.",119,Solved,
backend,secretstuffs.domain.configurations,WebConfig,corsConfigurer,Long Statement,"The length of the statement ""registry.addMapping(""/**"").allowedOrigins(allowedOrigins.split(""`"")).allowedMethods(allowedMethods.split(""`"")).allowedHeaders(allowedHeaders).allowCredentials(allowCredentials);"" is 177.",24,Solved,
backend,secretstuffs.domain.configurations,WebConfig,addCorsMappings,Long Statement,"The length of the statement ""registry.addMapping(""/**"").allowedOrigins(allowedOrigins.split(""`"")).allowedMethods(allowedMethods.split(""`"")).allowedHeaders(allowedHeaders).allowCredentials(allowCredentials);"" is 177.",27,Solved,
backend,secretstuffs.controllers,AuthController,verifyEmail,Long Statement,"The length of the statement ""String redirectUrl=ServletUriComponentsBuilder.fromCurrentContextPath().port(3000).path(""/auth"").queryParam(""status""`isVerified ? ""success"" : ""failure"").toUriString();"" is 167.",56,False Positive ,"The identified long statement is part of a URI-building process using ServletUriComponentsBuilder, which is a standard and concise way to construct URLs dynamically. Breaking it into smaller parts would reduce readability and is unnecessary in this context. Thus, it is a false positive."
backend,secretstuffs.controllers,AuthController,verifyEmail,Magic Number,The method contains a magic number: 3000,56,Solved,
