Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,Status,Justification
backend,secretstuffs.domain.models.requests.donation,CreateDonationRequestDTO,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation,Solved,
backend,secretstuffs.domain.models.requests.auth,LoginUserRequestDTO,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation,Solved,
backend,secretstuffs.domain.models.requests.auth,RegisterUserRequestDTO,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation,Solved,
backend,secretstuffs.domain.models.requests.auth,RegisterUserRequestDTO,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: firstName; lastName; email; password; profileImageURL,Solved,
backend,secretstuffs.domain.models.requests.user,UpdateUserRequestDTO,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation,Solved,
backend,secretstuffs.domain.models.requests.user,ChangePasswordRequestDTO,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation,Solved,
backend,secretstuffs.domain.models.requests.itemPost,CreateItemPostRequestDTO,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: email; title; address; description; itemPostImageUrl; condition; category,Solved,
backend,secretstuffs.domain.dtos.commands.chat,ChatNotification,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation,Solved,
backend,secretstuffs.domain.dtos.commands.chat,ChatNotification,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Solved,
backend,secretstuffs.domain.dtos.commands.auth,LoginUserCommand,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation,Solved,
backend,secretstuffs.domain.dtos.commands.auth,RegisterUserCommand,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation,Solved,
backend,secretstuffs.domain.dtos.commands.auth,RegisterUserCommand,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: firstName; lastName; email; password; profileImageURL,Solved,
backend,secretstuffs.domain.dtos.commands.user,UpdateUserDetailsCommand,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation,Solved,
backend,secretstuffs.domain.dtos.commands.user,ChangePasswordCommand,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation,Solved,
backend,secretstuffs.domain.dtos.commands.user,FetchUserDetailsCommand,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation,Solved,
backend,secretstuffs.domain.dtos.commands.user,DeleteUserCommand,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation,Solved,
backend,secretstuffs.domain.dtos.commands.itemPost,CreateItemPostCommand,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: email; title; address; Description; condition; itemPostUrl; category,Solved,
backend,secretstuffs.domain.dtos.commands.itemPost,FetchPostsByUserCommand,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation,Solved,
backend,secretstuffs.domain.dtos.commands.itemPost,DeleteItemPostCommand,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation,Solved,
backend,secretstuffs.domain.dtos.commands.itemPost,UpdateItemPostCommand,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Solved,
backend,secretstuffs.domain.dtos.commands.itemPost,UpdateItemPostCommand,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; title; description; address; itemPostUrl; category; condition,Solved,
backend,secretstuffs.domain.dtos.exception,BusinessException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation,Solved,
backend,secretstuffs.domain.validation,EnumValidatorImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),False Positive ,"The “Unutilized Abstraction” smell for the EnumValidatorImpl class is a false positive because it serves a specific purpose in validating string values against enum constants. It is used indirectly via the @EnumValidator annotation to ensure data integrity and enforce validation rules across the application. The class aligns with best practices by modularizing validation logic, making it reusable and maintainable."
backend,secretstuffs.domain.entities,Donation,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; createdAt; updatedAt; status; user; itemPost,Solved,
backend,secretstuffs.domain.entities,ChatRoom,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation,Solved,
backend,secretstuffs.domain.entities,VerificationToken,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation,Solved,
backend,secretstuffs.domain.entities,ChatMessage,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; chatId; senderId; recipientId; content; timestamp,Solved,
backend,secretstuffs.domain.entities,Donation,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; createdAt; updatedAt; status; user; itemPost,False Positive ,"The detection of “Broken Modularization” in the Donation class is a false positive because the class is designed as a domain entity to represent the donations table in the database. Its primary purpose is to encapsulate data and define relationships using JPA annotations while enforcing constraints. Adding methods without necessity would violate the Single Responsibility Principle (SRP), as business logic and behavior are intended to reside in service layers. The class adheres to standard domain-driven design practices, keeping entities focused on their core responsibility of data representation."
backend,secretstuffs.domain.entities,ItemPost,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; email; title; address; description; category; itemPostImageUrl; condition,False Positive ,"The detection of “Broken Modularization” in the ItemPost class is a false positive because it is designed as a domain entity with the primary responsibility of representing database data using JPA annotations. Its minimal behavior is intentional, adhering to the Single Responsibility Principle (SRP), while Lombok-generated methods handle functionality like getters, setters, and constructors. Adding methods unnecessarily would violate the separation of concerns and overcomplicate the entity’s purpose."
